"code","order","category_description","entry_description","field","ris_generic","ris_wos","ris_pubmed","ris_scopus","ris_asp","ris_ovid","ris_synthesisr"
"DB",1.09,"File & document metadata","Database","database",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"FN",1.1,"File & document metadata","File Name","file_name",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"N",1.1,"File & document metadata","File name","file_name",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"DA",1.15,"File & document metadata","Date this report was generated","date_generated",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"DT",1.2,"File & document metadata","Document Type","document_type",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"M3",1.2,"File & document metadata","Document Type","document_type",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"TY",1.2,"File & document metadata","Source/document type","source_type",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"LT",1.3,"File & document metadata","Literature Type","publication_type",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PT",1.3,"File & document metadata","Publication Type","publication_type",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"LA",1.4,"File & document metadata","Language","language",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"PST",1.5,"File & document metadata","Publication status","status",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"SA",1.5,"File & document metadata","Status","status",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"STAT",1.5,"File & document metadata","Status","status",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"A1",2.01,"Authorship","Author","author",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"A2",2.01,"Authorship","Author","author",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"A3",2.01,"Authorship","Author","author",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"A4",2.01,"Authorship","Author","author",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"A5",2.01,"Authorship","Author","author",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AU",2.01,"Authorship","Author","author",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"AF",2.02,"Authorship","Author full name","author_full",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"FAU",2.02,"Authorship","Author full name","author_full",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"BA",2.03,"Authorship","Book Authors","author_book",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
