PT	AN	DT	TI	FT	AU	BA	GP	ED	SO	VL	IS	SU	PS	PD	PY	UR	AW	NT	LA	U1	U2	AB	C1	EM	RI	OI	PU	PA	SC	SN	BN	BD	DE	TN	ST	OR	DI	UT	PM	OA	HC	HP	DA
J	ZOOR15601000869		Testing the benefits of conservation set-asides for improved habitat connectivity in tropical agricultural landscapes.		Scriven, Sarah A.; Carlson, Kimberly M.; Hodgson, Jenny A.; McClean, Colin J.; Heilmayr, Robert; Lucey, Jennifer M.; Hill, Jane K.				Journal of Applied Ecology	56	10		2274-2285	Oct 2019	2019							Habitat connectivity is important for tropical biodiversity conservation. Expansion of commodity crops, such as oil palm, fragments natural habitat areas, and strategies are needed to improve habitat connectivity in agricultural landscapes. The Roundtable on Sustainable Palm Oil (RSPO) voluntary certification system requires that growers identify and conserve forest patches identified as High Conservation Value Areas (HCVAs) before oil palm plantations can be certified as sustainable. We assessed the potential benefits of these conservation set-asides for forest connectivity. We mapped HCVAs and quantified their forest cover in 2015. To assess their contribution to forest connectivity, we modelled range expansion of forest-dependent populations with five dispersal abilities spanning those representative of poor dispersers (e.g. flightless insects) to more mobile species (e.g. large birds or bats) across 70 plantation landscapes in Borneo. Because only 21% of HCVA area was forested in 2015, these conservation set-asides currently provide few connectivity benefits. Compared to a scenario where HCVAs contain no forest (i.e. a no-RSPO scenario), current HCVAs improved connectivity by [approximately]3% across all dispersal abilities. However, if HCVAs were fully reforested, then overall landscape connectivity could improve by [approximately]16%. Reforestation of HCVAs had the greatest benefit for poor to intermediate dispersers (0.5-3 km per generation), generating landscapes that were up to 2.7 times better connected than landscapes without HCVAs. By contrast, connectivity benefits of HCVAs were low for highly mobile populations under current and reforestation scenarios, because range expansion of these populations was generally successful regardless of the amount of forest cover. Synthesis and applications. The Roundtable on Sustainable Palm Oil (RSPO) requires that High Conservation Value Areas (HCVAs) be set aside to conserve biodiversity, but HCVAs currently provide few connectivity benefits because they contain relatively little forest. However, reforested HCVAs have the potential to improve landscape connectivity for some forest species (e.g. winged insects), and we recommend active management by plantation companies to improve forest quality of degraded HCVAs (e.g. by enrichment planting). Future revisions to the RSPO's Principles and Criteria should also ensure that large (i.e. with a core area >2 km2) HCVAs are reconnected to continuous tracts of forest to maximize their connectivity benefits.				Heilmayr, Robert/0000-0001-8980-9639; Hill, Jane/0000-0003-1871-7715; Carlson, Kimberly/0000-0003-2162-1378; Scriven, Sarah/0000-0003-0505-5425; McClean, Colin John/0000-0002-5457-4355; Hodgson, Jenny/0000-0003-2297-3631				0021-8901								ZOOREC:ZOOR15601000869	31762491				
J	ZOOR15511072736		Insect herbivory and avian insectivory in novel native oak forests: Divergent effects of stand size and connectivity.		Valdes-Correcher, Elena; van Halder, Inge; Barbaro, Luc; Castagneyrol, Bastien; Hampe, Arndt				Forest Ecology and Management	445			146-153	Aug 1 2019	2019							The value of novel native broadleaf woodlands for biodiversity conservation is important to consider for adequate forest management in rural landscapes. Passive reforestation has been proposed as a cost-efficient tool for creating networks of novel native forest stands that would help restoring biodiversity and associated ecosystem services. Yet to date the ecological functioning of such stands remains strongly understudied compared to forest remnants resulting from longer-term fragmentation. We assessed how the size and connectivity of newly established Pedunculate oak (Quercus robur L.) stands in rural landscapes of SW France affect rates of herbivory by different insect guilds as well as rates of avian insectivory and the abundance and richness of insectivorous birds. Comparing 18 novel forest stands along a gradient of size (0.04-1.15 ha) and cover of broadleaf forests in the surroundings (0-30% within a 500 m radius), we found that even the smallest stands are colonised by leaf miners and chewers/skeletonizers, and that rates of herbivory are globally comparable to those reported from older and larger oak forests. The size of stands had a relatively minor effect on herbivory, whereas it increased the abundance of insectivorous bird. It also determined rates of avian insectivory as estimated by an experiment with plasticine caterpillars. These rates were however rather low and unrelated with the extent of herbivory in the stand. Overall, our study indicates that insect herbivores tend to react more rapidly to the establishment of novel native forests than their avian predators as the latter may depend on the development of larger patches of suitable habitat in the surrounding landscape. To favour a rapid build-up of diverse, and hence stable, trophic networks involving insect herbivores and their predators, woodland creation schemes should therefore primarily focus on habitat size and quality.				Hampe, Arndt/0000-0003-2551-9784				0378-1127								ZOOREC:ZOOR15511072736					
J	ZOOR15509061867		Forest fragmentation and tree species composition jointly shape breeding performance of two avian insectivores.		Dekeukeleire, Daan; Hertzog, Lionel R.; Vantieghem, Pieter; Lantman, Irene M. van Schrojenstein; Sercu, Bram K.; Boonyarittichaikij, Roschong; Martel, An; Verheyen, Kris; Bonte, Dries; Strubbe, Diederik; Lens, Luc				Forest Ecology and Management	443			95-105	Jul 1 2019	2019							Habitat fragmentation and forestry practices affect forest structure and composition, and hence, their intrinsic value for biodiversity conservation. While higher tree species diversity is commonly proposed to result in habitat of higher quality for forest species, how these tree diversity and tree composition effects interact with forest fragmentation in terms of critical resources and demographic effects on forest birds remains poorly understood. We investigated here possible synergistic effects of forest fragmentation and tree species composition on the breeding performance of two common, insectivorous forest birds in a human-dominated landscape in northern Belgium. We monitored the breeding performance of Great Tits and Blue Tits in 53 plots across independent gradients of tree species composition and forest fragmentation. In addition, data on the biomass of the main food source of these two species (i.e. caterpillars) was collected during the breeding season. Both tree composition and habitat fragmentation impacted the breeding performance of Great and Blue Tits. Effects of tree species composition were mainly driven by tree species identity, rather than by tree species diversity, and the highest breeding performance was obtained in monocultures of Pedunculate Oaks. Fragmentation effects were only observed in resource-poor Beech monocultures with breeding performance declining with reduction in forest area. Structural Equation Modelling revealed diverse and species-specific pathways: for Great Tits tree composition effects on breeding performance were driven by resource availability while for Blue Tits these effects were driven by variation in clutch size. Thus, forestry practices aiming at promoting forest-dependent birds could benefit from including tree species that support high arthropod numbers and by maintaining forest patches of larger sizes.			Strubbe, Diederik/J-4299-2015	Strubbe, Diederik/0000-0002-2613-4985; Lens, Luc/0000-0002-0241-2215; van Schrojenstein Lantman, Irene/0000-0002-9715-4959				0378-1127								ZOOREC:ZOOR15509061867					
J	ZOOR15509059169		Avian top-down control affects invertebrate herbivory and sapling growth more strongly than overstorey species composition in temperate forest fragments.		Dekeukeleire, Daan; Lantman, Irene M. van Schrojenstein; Hertzog, Lionel R.; Vandegehuchte, Martijn L.; Strubbe, Diederik; Vantieghem, Pieter; Martel, An; Verheyen, Kris; Bonte, Dries; Lens, Luc				Forest Ecology and Management	442			1-9	Jun 15 2019	2019							To better understand natural regeneration of trees and forest dynamics it is important to gain insight into the drivers of invertebrate herbivory. In mature forests, associational resistance of trees resulting from a high diversity of neighbouring trees is common, and can have cascading effects on tree growth through resource concentration effects or through changes in top-down control. While the underlying biological processes are known to be influenced by the forest's spatial properties, we lack insights on how resource concentration, top-down control and fragmentation jointly affect sapling performance in fragmented landscapes. We therefore experimentally quantified effects of the proportion of conspecific trees in the overstorey (resource concentration), avian top-down control (natural enemies) and distance to the forest edge on invertebrate herbivory levels and sapling growth. The assessments were made on planted saplings of Fagus sylvatica, Quercus robur and Quercus rubra in 53 experimental plots and birds were excluded by means of exclosures from a subset of these saplings. Excluding avian top-down control increased herbivory on each tree species. Increased herbivory led to decreased sapling growth in F. sylvatica and Q. rubra. On Q. robur saplings, top-down control was stronger closer to the forest edge. Furthermore, in this species, herbivory inside the exclosures increased with an increasing proportion of conspecific trees in the overstorey, while such a resource concentration effect was not observed outside the exclosures. Our results show the importance for forest management of conserving insectivorous birds and promoting a mixed overstorey, which can decrease sapling herbivory when bird abundance is low. More generally, our study provides insight into the complex, multitrophic interactions that drive sapling growth in forest stands located within fragmented landscapes.				Lens, Luc/0000-0002-0241-2215; Vandegehuchte, Martijn L./0000-0003-1283-4654				0378-1127								ZOOREC:ZOOR15509059169					
J	ZOOR15512081533		Shrinking skinks: lizard body size declines in a long-term forest fragmentation experiment.		Tuff, Kika T.; Glidden, Caroline K.; Melbourne, Brett A.; Meyers, Jacqui A.; Nix, Henry A.; Sarre, Stephen D.; Davies, Kendi F.				Landscape Ecology	34	6		1395-1409	Jun 2019	2019							ContextIncreasing rates of habitat fragmentation globally underscore the importance of understanding the full spectrum of fragmentation's ecological consequences. Fragmentation alters the thermal environment of fragments, which may alter the body size of ectothermic organisms and in turn impact survival and reproduction.ObjectivesTo determine whether experimental habitat fragmentation alters body size in the heliothermic, ground-dwelling common garden skink (Lampropholis guichenoti).MethodsWe use body size data spanning 29years to experimentally test the prediction that lizards will experience morphological changes in forest fragments but not in non-fragmented controls.ResultsLizards were smaller in forest fragments relative to those in the non-fragmented controls after the fragmentation treatment was applied. For lizards within forest fragments, the greater the exposure to deforested areas, the greater the decline in body size. This pattern was strongest in the first 5 years following fragmentation and weakened or reversed over time as the pine plantation matrix surrounding the fragments matured. Using sampling site-scale temperature data for the most recent 5years of the experiment, we show that temperature predicts lizard body size. Our findings are consistent with predictions made under the temperature-size rule that ectotherms will be smaller in fragmented landscapes because of temperature increases at newly created edges.ConclusionsOur results raise new concerns about the effects of fragmentation on organisms in remnant patches and offer new research priorities, as more evidence is needed to determine the generality of body size declines in fragmented landscapes. Our results also highlight that body size declines, often attributed to climate change, may be amplified by habitat fragmentation, which has been global in its impact.				DAVIES, KENDI/0000-0001-7716-3359				0921-2973								ZOOREC:ZOOR15512081533					
J	ZOOR15511072538		Examining the microclimate hypothesis in Amazonian birds: indirect tests of the 'visual constraints' mechanism.		Rutt, Cameron L.; Midway, Stephen R.; Jirinec, Vitek; Wolfe, Jared D.; Stouffer, Philip C.				Oikos	128	6		798-810	Jun 2019	2019							Proposed mechanisms for the decline of terrestrial and understory insectivorous birds in the tropics include a related subset that together has been termed the 'microclimate hypothesis'. One prediction from this hypothesis is that sensitivity to bright light environments discourages birds of the dimly lit rainforest interior from using edges, gaps, or disturbed forest. Using a hierarchical Bayesian framework and capture data across time and space, we tested this by first determining vulnerability based on differences in within-species capture rates between disturbed and undisturbed forest for 64 bird species at the Biological Dynamics of Forest Fragments Project in central Amazonian Brazil. We found that 35 species (55%) were vulnerable to anthropogenic habitat degradation, whereas only four (6%) were more commonly captured in degraded forest. To infer visual sensitivity, we then examined two different characters: eye size (maximum pupil diameter) relative to body mass and the initiation time of dawn song, which presumably reflects a species' visual capacity under low light intensities. We predicted that species with large relative eye sizes and birds with earlier dawn songs would exhibit increased vulnerability in degraded habitats with bright light. Contrary to our predictions, however, vulnerability was positively correlated with the mean start time of dawn song. This indicates that species that wait to initiate dawn song are also more vulnerable to habitat degradation. After correcting for body size, there was no effect of eye size on vulnerability. Together, our results do not provide quantitative support for the light sensitivity mechanism of the microclimate hypothesis. More sensitive experimental tests, such as behavioral assays with controlled light environments, especially in a comparative framework, are needed to rigorously evaluate the role of light sensitivity as an aspect of the microclimate hypothesis among Neotropical birds.				Rutt, Cameron/0000-0003-4689-1294; Stouffer, Philip/0000-0002-0052-0423; Midway, Stephen/0000-0003-0162-1995				0030-1299								ZOOREC:ZOOR15511072538					
J	ZOOR15512079222		Long-term declines in bird populations in tropical agricultural countryside.		Sekercioglu, Cagan H.; Mendenhall, Chase D.; Oviedo-Brenes, Federico; Horns, Joshua J.; Ehrlich, Paul R.; Daily, Gretchen C.				Proceedings of the National Academy of Sciences of the United States of America	116	20		9903-9912	May 14 2019	2019							Tropical agriculture is a major driver of biodiversity loss, yet it can provide conservation opportunities, especially where protected areas are inadequate. To investigate the long-term biodiversity capacity of agricultural countryside, we quantified bird population trends in Costa Rica by mist netting 57,255 birds of 265 species between 1999 and 2010 in sun coffee plantations, riparian corridors, secondary forests, forest fragments, and primary forest reserves. More bird populations (69) were declining than were stable (39) or increasing (4). Declines were common in resident, insectivorous, and more specialized species. There was no relationship between the species richness of a habitat and its conservation value. High-value forest bird communities were characterized by their distinct species composition and habitat and dietary functional signatures. While 49% of bird species preferred forest to coffee, 39% preferred coffee to forest and 12% used both habitats, indicating that coffee plantations have some conservation value. Coffee plantations, although lacking most of the forest specialists, hosted 185 bird species, had the highest capture rates, and supported increasing numbers of some forest species. Coffee plantations with higher tree cover (7% vs. 13%) had more species with increasing capture rates, twice as many forest specialists, and half as many nonforest species. Costa Rican countryside habitats, especially those with greater tree cover, host many bird species and are critical for connecting bird populations in forest remnants. Diversified agricultural landscapes can enhance the biodiversity capacity of tropical countryside, but, for the long-term persistence of all forest bird species, large (> 1,000 ha) protected areas are essential.				Sekercioglu, Cagan H./0000-0003-3193-0377				0027-8424								ZOOREC:ZOOR15512079222	31036662				
J	ZOOR15508050847		Using soundscapes to assess biodiversity in Neotropical oil palm landscapes.		Furumo, Paul R.; Aide, T. Mitchell				Landscape Ecology	34	4		911-923	Apr 2019	2019							ContextExpanding oil palm plantations have caused widespread deforestation and biodiversity loss in Southeast Asia, stigmatizing the industry around the world regardless of regional context. In Latin America, oil palm plantations are primarily replacing other agroindustrial land uses with uncertain implications for local biodiversity.ObjectivesOur aim was to create empirical baseline data to help guide development of future plantations into areas where biodiversity impacts are minimized. We used soundscapes to assess fauna in oil palm landscapes of Colombia, the world's 4th largest palm oil producer.MethodsSoundscapes capture daily patterns of acoustic activity that can be used to measure differences between biotic communities between habitats. Using remnant forest fragments as reference sites, we sampled land use classes that are commonly replaced by commercial oil palm including cattle pastures, rice fields, and banana plantations.ResultsSoundscape analysis showed that even highly degraded forests have a unique soundscape compared to production systems. Similarities were found among closed canopy production sites (oil palm, banana) and open production habitat (pastures, rice), suggesting the importance of habitat structure for acoustic communities. Oil palm also showed notable overlap with pastures, but had soundscapes that were more similar to forest than the other production types.ConclusionsFuture oil palm development in Latin America can replace cattle pastures and other commodity plantation agriculture with minimal impacts on acoustic communities. New supply chain governance approaches such as the zero-deforestation agreements being implemented in the Colombian oil palm and cattle sectors may help guide the industry toward more sustainable development by continuing to target previously cleared lands.				Furumo, Paul/0000-0001-6499-1745; Aide, T. Mitchell/0000-0003-3655-6660				0921-2973								ZOOREC:ZOOR15508050847					
J	ZOOR15508051635		The forgotten habitats in conservation: early successional vegetation.		Sandoval, Luis; Morales, Carlos O.; Ramirez-Fernandez, Jose D.; Hanson, Paul; Murillo-Hiller, Luis Ricardo; Barrantes, Gilbert				Revista de Biologia Tropical	67		S	36-52	Apr 2019	2019							Conservation efforts in terrestrial environments have focused on preserving patches of natural habitats and restoring disturbed habitats, with the main goal of transforming them into forests or habitats that resemble the original conditions. This approach tends to overlook the importance of conserving early successional vegetation (e.g., riverside vegetation, natural regeneration, young secondary forests), which often includes a large number of species (e.g., plants and animals) associated with or restricted to these habitats. In this paper we want to bring to attention the importance of preserving early successional vegetation, and to encourage scientists to investigate, e.g., the diversity, distribution, and species interactions occurring in these habitats. To address these goals, we focus on two main objectives: (1) to identify the common types of early successional vegetation in the Costa Rican Central Valley; and (2) to use some case studies to draw attention to the importance that such areas have as reservoirs of a large portion of the diversity unique to early successional stages. We first include an example to show the diversity of plants in small forest patches immersed in a large urbanized area. We provide general information on the insects that occur in early successional vegetation in urban areas, and in further detail examples of butterflies. Additionally, we provide examples of birds and mammals that are restricted to early successional vegetation, and how the reduction of this vegetation type affects species conservation. Finally, we encourage scientists to investigate these early successional habitats, particularly those species exclusive to early successional stages. Special attention should be paid to endemic species and those with a restricted distribution. Information of this type will make conservation of the diversity contained in these habitats possible.								0034-7744								ZOOREC:ZOOR15508051635					
J	ZOOR15505029522		Patch-scale biodiversity retention in fragmented landscapes: Reconciling the habitat amount hypothesis with the island biogeography theory.		Bueno, Anderson Saldanha; Peres, Carlos A.				Journal of Biogeography	46	3		621-632	Mar 2019	2019							Aim To test whether the species richness of understorey insectivorous birds on forest islands induced by a major hydroelectric dam is best explained by either the island biogeography theory (IBT) or the habitat amount hypothesis (HAH). Given the low dispersal ability of the focal species group and the hostile water matrix, we predict that the species richness will be predominantly driven by an island effect as posited by the IBT, rather than a sample area effect as posited by the HAH. Location Forest islands within the Balbina Hydroelectric Reservoir, central Brazilian Amazonia. Taxon Birds. Methods We mist-netted birds at 33 forest islands (0.63-1,699 ha), totalling 874 individuals of 59 species. The size of the local landscape used to calculate the habitat amount was determined by a multi-scale analysis in which buffers around mist-net lines ranged from 50 to 2,000 m. We applied four tests to examine whether the species richness on forest islands is predominantly driven by either an island effect (island size) or a sample area effect (habitat amount). Results From the four tests applied, one was consistent with an island effect, two were regarded as inappropriate to test the HAH, and one could not be adequately addressed due to island size being highly correlated with habitat amount in the local landscape (200-m buffer). Main conclusions Some of the proposed ways of testing the HAH may lead to misleading conclusions. The relative importance of island size in determining the species richness of understorey insectivorous birds on forest islands is higher than that of surrounding habitat amount, thereby providing stronger support for IBT. We propose a conceptual framework, based on the degree of matrix permeability and species dispersal ability, to determine to what extent a patch- or landscape-centric worldview in landscape ecology provides the most appropriate framework to assess the effects of habitat fragmentation on biodiversity.			Peres, Carlos A./B-1276-2013; Bueno, Anderson S/B-6172-2009; Bueno, Anderson/P-4707-2019	Peres, Carlos A./0000-0002-1588-8765; Bueno, Anderson S/0000-0001-7416-6626; Bueno, Anderson/0000-0001-7416-6626				0305-0270								ZOOREC:ZOOR15505029522					
