"code","order","category_description","entry_description","field","ris_generic","ris_wos","ris_pubmed"
"DB",1.09,"File & document metadata","Database (Scopus tag)","database",TRUE,FALSE,FALSE
"FN",1.1,"File & document metadata","File Name","file_name",FALSE,TRUE,FALSE
"N",1.1,"File & document metadata","File name","file_name",FALSE,TRUE,FALSE
"DA",1.15,"File & document metadata","Date this report was generated","date_generated",TRUE,TRUE,TRUE
"DT",1.2,"File & document metadata","Document Type","document_type",FALSE,TRUE,FALSE
"TY",1.2,"File & document metadata","Source/document type","document_type",TRUE,FALSE,FALSE
"LT",1.3,"File & document metadata","Literature Type","publication_type",TRUE,FALSE,FALSE
"PT",1.3,"File & document metadata","Publication Type","publication_type",TRUE,TRUE,TRUE
"LA",1.4,"File & document metadata","Language","language",TRUE,TRUE,TRUE
"PST",1.5,"File & document metadata","Publication status","status",FALSE,FALSE,TRUE
"SA",1.5,"File & document metadata","Status","status",TRUE,FALSE,FALSE
"STAT",1.5,"File & document metadata","Status","status",FALSE,FALSE,TRUE
"A1",2.01,"Authorship","Author","author",TRUE,FALSE,FALSE
"A2",2.01,"Authorship","Author","author",TRUE,FALSE,FALSE
"A3",2.01,"Authorship","Author","author",TRUE,FALSE,FALSE
"A4",2.01,"Authorship","Author","author",TRUE,FALSE,FALSE
"A5",2.01,"Authorship","Author","author",TRUE,FALSE,FALSE
"AU",2.01,"Authorship","Author","author",TRUE,TRUE,TRUE
"AF",2.02,"Authorship","Author full name","author_full",TRUE,TRUE,FALSE
"FAU",2.02,"Authorship","Author full name","author_full",FALSE,FALSE,TRUE
"BA",2.03,"Authorship","Book Authors","author_book",FALSE,TRUE,FALSE
"BF",2.03,"Authorship","Book Authors Full Name","author_book_full",FALSE,TRUE,FALSE
"CA",2.04,"Authorship","Group Authors","author_group",FALSE,TRUE,FALSE
"GP",2.04,"Authorship","Group Authors (generic) or Book Group authors (WoS)","author_group",FALSE,TRUE,FALSE
"CN",2.05,"Authorship","Author (corporate)","author_corporate",FALSE,FALSE,TRUE
"CNx",2.05,"Authorship","Author (corporate)","author_corporate",TRUE,FALSE,FALSE
"Z2",2.06,"Authorship","Author(s) (in second language)","author_otherlang",FALSE,TRUE,FALSE
"IR",2.07,"Authorship","Investigator","investigator",FALSE,FALSE,TRUE
"IV",2.07,"Authorship","Investigators","investigator",TRUE,FALSE,FALSE
"FIR",2.08,"Authorship","Investigator name (full)","investigator_full",FALSE,FALSE,TRUE
"A2x",2.09,"Authorship","Editor","editor",TRUE,FALSE,FALSE
"BE",2.09,"Authorship","Editor(s)","editor",FALSE,TRUE,FALSE
"ED",2.09,"Authorship","Editor(s)","editor",FALSE,FALSE,TRUE
"EDx",2.09,"Authorship","Editor(s)","editor",TRUE,FALSE,FALSE
"FED",2.1,"Authorship","Editor(s) full","editor_full",FALSE,FALSE,TRUE
"EM",2.11,"Authorship","E-mail Address","email",FALSE,TRUE,FALSE
"OI",2.12,"Authorship","ORCID Identifier Open Researcher and Contributor ID","orcid_id",TRUE,TRUE,FALSE
"AD",2.13,"Authorship","Address or Affilliation","address",TRUE,FALSE,TRUE
"ADx",2.13,"Authorship","Affiliations","address",TRUE,FALSE,FALSE
"C1",2.13,"Authorship","Author Address","address",FALSE,TRUE,FALSE
"CY",2.13,"Authorship","Institution","address",TRUE,FALSE,FALSE
"IRAD",2.13,"Authorship","Investigator affiliation","address",FALSE,FALSE,TRUE
"RP",2.14,"Authorship","Reprint Address","reprint_address",FALSE,TRUE,FALSE
"PS",2.2,"Authorship","Personal Name Subject","personal_name_as_subject",FALSE,FALSE,TRUE
"FPS",2.21,"Authorship","personal_name_as_subject_full","personal_name_as_subject_full",FALSE,FALSE,TRUE
"PSx",2.21,"Authorship","personal_name_as_subject","personal_name_as_subject",TRUE,FALSE,FALSE
"RI",2.3,"Authorship","ResearcherID Number","researcher_id",FALSE,TRUE,FALSE
"AUID",2.31,"Authorship","Author ID","author_id",FALSE,FALSE,TRUE
"PY",3,"Publication dates","Year Published","year",TRUE,TRUE,FALSE
"Y1",3,"Publication dates","Year","year",TRUE,FALSE,FALSE
"EY",3.01,"Publication dates","Early access year","year_early_access",FALSE,TRUE,FALSE
"CRDT",3.02,"Publication dates","Date created","date_created",FALSE,FALSE,TRUE
"RC",3.02,"Publication dates","Date Created, Date Completed, Date Revised","date_created",TRUE,FALSE,FALSE
"LR",3.03,"Publication dates","Date revised","date_revised",FALSE,FALSE,TRUE
"DCOM",3.04,"Publication dates","Date completed","date_completed",FALSE,FALSE,TRUE
"EDAT",3.05,"Publication dates","Date added","date_added",TRUE,FALSE,TRUE
"EA",3.06,"Publication dates","Early access date","date_early_access",FALSE,TRUE,FALSE
"DEP",3.07,"Publication dates","Date published (electronically)","date_published_elec",FALSE,FALSE,TRUE
"DP",3.08,"Publication dates","Date published","date_published",TRUE,FALSE,TRUE
"PD",3.08,"Publication dates","Publication Date","date_published",FALSE,TRUE,FALSE
"PHST",3.09,"Publication dates","Publication history status","publication_history_status",FALSE,FALSE,TRUE
"T1",4,"Reference information","Title","title",TRUE,FALSE,FALSE
"TI",4,"Reference information","Title","title",TRUE,TRUE,TRUE
"BTI",4.01,"Reference information","Book title","title_book",FALSE,FALSE,TRUE
"FT",4.02,"Reference information","Foreign title","title_foreign",FALSE,TRUE,FALSE
"Z1",4.03,"Reference information","Title (in second language)","title_otherlang",FALSE,TRUE,FALSE
"TT",4.04,"Reference information","Title (transliterated)","title_transliterated",FALSE,FALSE,TRUE
"JA",4.1,"Reference information","Journal","journal",TRUE,FALSE,FALSE
"JF",4.1,"Reference information","Journal","journal",TRUE,FALSE,FALSE
"JO",4.1,"Reference information","Journal","journal",TRUE,FALSE,FALSE
"JT",4.1,"Reference information","Journal","journal",TRUE,FALSE,TRUE
"T3",4.1,"Reference information","Journal","journal",TRUE,FALSE,FALSE
"TA",4.11,"Reference information","Journal (abbreviated)","journal_abbreviated",FALSE,FALSE,TRUE
